"ID","Player","Team","Position","RkOv","Status","Roster Status","Age","Opponent","FPts","FP/G","Ros","+/-","GP","G","A","+/-","SOG","PPP","SHP","Hit","Blk"
"*0644f*","Ryan Leonard","WSH","F","247","DaddyX23","Minors","20","","58.5","3.9","56%","-1%","15","3","4","3","23","1","0","25","6"
"*05r1i*","Matty Beniers","SEA","F","245","Pleka","Minors","23","","58.5","3.9","54%","-0.3%","15","2","7","2","24","3","0","7","11"
"*042vl*","Jordan Kyrou","STL","F","253","MagicFac","Reserve","27","","58","3.87","88%","-2.6%","15","5","4","-7","36","3","0","2","9"
"*04y80*","Shane Wright","SEA","F","255","Mando18","Minors","21","","58","3.87","52%","-1.3%","15","4","4","2","22","2","0","13","7"
"*05gd9*","Zack Bolduc","MTL","F","256","SamBleau","Active","22","","57.5","3.83","57%","-4.6%","15","4","2","1","23","3","0","25","4"
"*06axy*","Artyom Levshunov","CHI","D","260","Mando18","Minors","20","","57","3.8","58%","+4.8%","15","0","9","3","12","5","0","16","11"
"*05kdw*","Ridly Greig","OTT","F","274","Boeuf_","Minors","23","","56","3.5","25%","-1.1%","16","2","5","-2","24","3","0","22","11"
"*02b3o*","Rickard Rakell","PIT","F","282","SamBleau","Inj Res","32","","55","6.11","81%","-1.9%","9","3","5","1","17","3","1","9","10"
"*05k8c*","Tyson Foerster","PHI","F","285","MagicFac","Minors","23","","54.5","4.95","39%","-1.3%","11","4","3","5","19","2","0","9","7"
"*04qve*","KAndre Miller","CAR","D","288","Fred_Lan","Active","25","","54","6","65%","+3.8%","9","2","6","2","22","3","0","6","11"
"*05y7m*","Denton Mateychuk","CBJ","D","287","Olilapat","Active","21","@EDM Mon 8:30PM","54","4.15","46%","+0.8%","13","3","3","5","16","0","0","11","23"
"*05gvo*","Matvei Michkov","PHI","F","293","Olilapat","Reserve","20","","53.5","3.57","89%","-1.1%","15","3","5","0","28","1","0","11","5"
"*031v6*","MacKenzie Weegar","CGY","D","303","SamBleau","Active","31","","52.5","3.09","93%","-1.6%","17","0","4","-16","29","2","0","44","34"
"*0579x*","Adam Fantilli","CBJ","F","299","Pouding_","Minors","21","@EDM Mon 8:30PM","52.5","3.75","86%","-3.5%","14","2","6","-5","33","0","0","18","8"
"*031p3*","Carter Verhaeghe","FLA","F","302","DaddyX23","Active","30","@VGK Mon 10:00PM","52.5","3.5","82%","-2.3%","15","2","5","-4","38","2","0","14","5"
"*04ymm*","Aatu Raty","VAN","F","306","SamBleau","Minors","22","","52","3.47","20%","+0.5%","15","1","5","3","12","0","0","40","6"
"*01zql*","Brock Nelson","COL","F","310","Mando18","Active","34","","51.5","3.22","51%","-3.8%","16","3","2","6","24","1","0","9","13"
"*024lv*","Mattias Ekholm","EDM","D","322","Pouding_","Active","35","CBJ Mon 8:30PM","50.5","3.16","62%","-0.6%","16","1","5","-9","31","1","0","10","35"
"*04ymn*","Luke Hughes","NJD","D","330","Mando18","Active","22","NYI Mon 7:00PM","50","3.33","96%","-0.9%","15","0","7","5","25","1","0","7","13"
"*02nqb*","Colton Parayko","STL","D","331","SamBleau","Active","32","","50","3.12","72%","-3.3%","16","0","6","-3","21","0","0","15","34"
"*03e1m*","Brayden Point","TBL","F","342","Doumi","Reserve","29","","49","3.27","98%","-0.5%","15","3","6","-9","31","3","0","3","7"
"*04apb*","Robert Thomas","STL","F","344","Mando18","Reserve","26","","49","4.08","94%","-0.5%","12","2","7","-1","16","4","0","3","7"
"*06bmb*","Zeev Buium","MIN","D","341","Mando18","Minors","19","","49","2.88","91%","-2.2%","17","3","6","-10","22","6","0","4","8"
"*05xrx*","Marco Kasper","DET","F","346","Pouding_","Minors","21","","48.5","3.03","56%","-2.6%","16","3","0","-6","26","1","0","40","10"
"*0243f*","Seth Jones","FLA","D","350","Mando18","Active","31","@VGK Mon 10:00PM","48","3.2","86%","-1.9%","15","0","6","-1","21","3","0","17","15"
"*059e5*","Jake Neighbours","STL","F","358","Fred_Lan","Inj Res","23","","47.5","5.94","61%","-2.9%","8","6","1","-4","12","0","0","20","5"
"*03ecl*","Gustav Forsling","FLA","D","360","Boeuf_","Active","29","@VGK Mon 10:00PM","46.5","3.1","60%","-3.2%","15","0","6","2","21","0","0","16","16"
"*05ril*","Simon Nemec","NJD","D","364","Olilapat","Active","21","NYI Mon 7:00PM","46.5","3.1","47%","-2%","15","0","8","0","16","0","0","3","26"
"*02npz*","Esa Lindell","DAL","D","362","Bigdawn","Active","31","","46.5","2.91","23%","-1.7%","16","1","3","5","15","0","0","11","29"
"*062k9*","Noah Laba","NYR","F","361","Olilapat","Minors","22","NSH Mon 7:00PM","46.5","2.91","10%","+0.8%","16","3","2","3","16","1","0","13","13"
"*05ylt*","Zach Benson","BUF","F","367","Doumi","Minors","20","","46","5.75","58%","-3.4%","8","0","8","3","16","3","1","4","6"
"*031nx*","Shea Theodore","VGK","D","372","Pleka","Active","30","FLA Mon 10:00PM","45.5","3.25","96%","-0.7%","14","0","5","1","26","2","0","0","27"
"*03dde*","Jake Walman","EDM","D","378","Fred_Lan","Active","29","CBJ Mon 8:30PM","45","4.5","88%","-0.1%","10","1","6","1","12","1","0","5","22"
"*05yms*","Sam Rinzel","CHI","D","382","Pouding_","Reserve","21","","44.5","2.78","70%","-5.4%","16","1","2","2","25","0","0","17","21"
